Rank,Title,Year,Rating,Link
1,1. The Shawshank Redemption,N/A,9.3 (3.1M),https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2,2. The Godfather,N/A,9.2 (2.2M),https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3,3. The Dark Knight,N/A,9.1 (3.1M),https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4,4. The Godfather: Part II,N/A,9.0 (1.5M),https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
5,5. 12 Angry Men,N/A,9.0 (953K),https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
6,6. The Lord of the Rings: The Return of the King,N/A,9.0 (2.1M),https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
7,7. Schindler's List,N/A,9.0 (1.6M),https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
8,8. The Lord of the Rings: The Fellowship of the Ring,N/A,8.9 (2.1M),https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8
9,9. Pulp Fiction,N/A,8.8 (2.4M),https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9
10,"10. Il Buono, Il Brutto, Il Cattivo",N/A,8.8 (871K),https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
11,11. The Lord of the Rings: The Two Towers,N/A,8.8 (1.9M),https://www.imdb.com/title/tt0167261/?ref_=chttp_t_11
12,12. Forrest Gump,N/A,8.8 (2.4M),https://www.imdb.com/title/tt0109830/?ref_=chttp_t_12
13,13. Fight Club,N/A,8.8 (2.5M),https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
14,14. Inception,N/A,8.8 (2.7M),https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
15,15. Star Wars: Episode V - The Empire Strikes Back,N/A,8.7 (1.5M),https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
16,16. The Matrix,N/A,8.7 (2.2M),https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
17,17. GoodFellas,N/A,8.7 (1.4M),https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
18,18. Interstellar,N/A,8.7 (2.4M),https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18
19,19. One Flew Over the Cuckoo's Nest,N/A,8.7 (1.1M),https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
20,20. Se7en,N/A,8.6 (2M),https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
21,21. It's a Wonderful Life,N/A,8.6 (536K),https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
22,22. The Silence of the Lambs,N/A,8.6 (1.7M),https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
23,23. Shichinin No Samurai,N/A,8.6 (392K),https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
24,24. Saving Private Ryan,N/A,8.6 (1.6M),https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
25,25. The Green Mile,N/A,8.6 (1.5M),https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
